05:00:52 1743.0 ppm (+53), brightness: 0.148, window is closed -> open window
05:30:53 1346.0 ppm (-37), brightness: 0.148, window is open -> close window
19:59:36 1346.0 ppm (+8), brightness: 0.152, window is closed -> open window
19:59:36 1346.0 ppm (+8), brightness: 0.152, window is closed -> close window
20:01:06 1356.0 ppm (+39), brightness: 0.151, window is closed -> open window
20:02:06 1334.0 ppm (-12), brightness: 0.151, window is open -> close window
00:32:20 2032.0 ppm (+58), brightness: 0.148, window is closed -> open window
00:43:20 1341.0 ppm (-33), brightness: 0.148, window is open -> close window
02:24:55 2002.0 ppm (+5), brightness: 0.148, window is closed -> open window
02:37:26 1348.0 ppm (-17), brightness: 0.148, window is open -> close window
04:18:31 2013.0 ppm (+38), brightness: 0.148, window is closed -> open window
04:31:31 1339.0 ppm (-25), brightness: 0.148, window is open -> close window
05:04:33 1701.0 ppm (+34), brightness: 0.148, window is closed -> open window
05:15:03 1344.0 ppm (-21), brightness: 0.148, window is open -> close window
05:41:05 1719.0 ppm (+86), brightness: 0.148, window is closed -> open window
05:50:35 1346.0 ppm (-6), brightness: 0.148, window is open -> close window
07:26:10 1860.0 ppm (-15), brightness: 0.488, window is closed, command open
07:26:10 1860.0 ppm (-15), brightness: 0.488, window is closed -> close window
18:25:42 2013.0 ppm (+93), brightness: 0.148, window is closed -> open window
20:30:17 1705.0 ppm (+18), brightness: 0.148, window is open -> close window
00:01:27 2029.0 ppm (+184), brightness: 0.148, window is closed -> open window
06:00:14 1760.0 ppm (-7), brightness: 0.148, window is open -> close window
19:59:55 1272.0 ppm (+3), brightness: 0.149, window is closed -> open window
19:59:55 1272.0 ppm (+3), brightness: 0.149, window is closed -> close window
20:01:25 1260.0 ppm (-8), brightness: 0.149, window is closed -> open window
20:01:25 1260.0 ppm (-8), brightness: 0.149, window is closed -> close window
00:30:08 2005.0 ppm (+20), brightness: 0.148, window is closed -> open window
00:45:09 1350.0 ppm (-35), brightness: 0.148, window is open -> close window
01:25:41 1819.0 ppm (+45), brightness: 0.148, window is closed, command open5
01:47:12 1342.0 ppm (-36), brightness: 0.148, window is open -> close window
02:50:45 2027.0 ppm (+41), brightness: 0.148, window is closed -> open window
03:03:15 1345.0 ppm (-33), brightness: 0.148, window is open -> close window
04:32:20 2010.0 ppm (+74), brightness: 0.148, window is closed -> open window
04:51:21 1335.0 ppm (-31), brightness: 0.148, window is open -> close window
05:16:22 1700.0 ppm (+28), brightness: 0.148, window is closed -> open window
05:17:22 1672.0 ppm (+7), brightness: 0.252, window is open -> close window
05:17:22 1672.0 ppm (+7), brightness: 0.252, window is open -> open window
05:17:22 1672.0 ppm (+7), brightness: 0.252, window is open -> close window
05:17:22 1672.0 ppm (+7), brightness: 0.252, window is open -> open window
05:17:22 1672.0 ppm (+7), brightness: 0.252, window is open -> close window
13:00:01 2219.0 ppm (+19), brightness: 0.148, window is closed -> open window
13:22:32 1347.0 ppm (-20), brightness: 0.921, window is open -> close window
19:59:54 1332.0 ppm (-22), brightness: 0.148, window is closed -> open window
19:59:54 1332.0 ppm (-22), brightness: 0.148, window is closed -> close window
20:00:54 1348.0 ppm (+8), brightness: 0.148, window is closed -> open window
20:00:54 1348.0 ppm (+8), brightness: 0.148, window is closed -> close window
20:02:24 1334.0 ppm (+2), brightness: 0.148, window is closed -> open window
20:02:24 1334.0 ppm (+2), brightness: 0.148, window is closed -> close window
23:50:36 2039.0 ppm (+101), brightness: 0.148, window is closed -> open window
00:06:07 1338.0 ppm (-27), brightness: 0.148, window is open -> close window
00:58:10 2012.0 ppm (+21), brightness: 0.147, window is closed -> open window
01:18:11 1345.0 ppm (-14), brightness: 0.148, window is open -> close window
04:59:53 1852.0 ppm (+0), brightness: 0.148, window is closed -> open window
05:10:54 1333.0 ppm (-27), brightness: 0.148, window is open -> close window
05:50:26 1714.0 ppm (+41), brightness: 0.148, window is closed -> open window
05:58:57 1345.0 ppm (-27), brightness: 0.148, window is open -> close window
20:00:13 1316.0 ppm (-15), brightness: 0.148, window is closed -> open window
20:00:13 1316.0 ppm (-15), brightness: 0.148, window is closed -> close window
20:01:13 1323.0 ppm (+0), brightness: 0.148, window is closed -> open window
20:01:13 1323.0 ppm (+0), brightness: 0.148, window is closed -> close window
23:00:23 2005.0 ppm (+23), brightness: 0.148, window is closed -> open window
00:21:27 1349.0 ppm (-21), brightness: 0.147, window is open -> close window
02:46:05 3381.0 ppm (+1724), brightness: 0.148, window is closed -> open window
03:17:07 1346.0 ppm (-16), brightness: 0.148, window is open -> close window
03:45:38 2851.0 ppm (+1318), brightness: 0.148, window is closed -> open window
03:58:39 1346.0 ppm (-10), brightness: 0.148, window is open -> close window
05:00:12 1751.0 ppm (+9), brightness: 0.148, window is closed -> open window
05:13:13 1337.0 ppm (-33), brightness: 0.148, window is open -> close window
20:00:02 1605.0 ppm (-36), brightness: 0.148, window is closed -> open window
20:11:32 1349.0 ppm (-21), brightness: 0.148, window is open -> close window
02:56:54 2005.0 ppm (+20), brightness: 0.148, window is closed -> open window
06:00:04 1686.0 ppm (+11), brightness: 0.148, window is open -> close window
19:59:51 1475.0 ppm (+12), brightness: 0.148, window is closed -> open window
20:06:21 1341.0 ppm (-43), brightness: 0.147, window is open -> close window
